product_id,product_name_pol,category_id,category_name,producer_id
279,RĘKAWICE ROBOCZE ESD PRO ANTYSTATYCZNE NYLON 11/XXL,1214553897,Rękawice,1703684705
280,RĘKAWICZKI OCHRONNE NYLONOWE POWLEKANE PALCE 7/S,1214553897,Rękawice,1703684705
281,RĘKAWICZKI OCHRONNE NYLONOWE POWLEKANE PALCE 8/M,1214553897,Rękawice,1703684705
282,RĘKAWICZKI OCHRONNE NYLONOWE POWLEKANE PALCE 9/L,1214553897,Rękawice,1703684705
283,RĘKAWICZKI OCHRONNE NYLONOWE POWLEKANE PALCE 10/XL,1214553897,Rękawice,1703684705
284,RĘKAWICZKI OCHRONNE NYLONOWE POWLEKANE PALCE  11/XXL,1214553897,Rękawice,1703684705
285,SHIELD+ CUT SAF.GLV.9/L,1214553897,Rękawice,1703684705
286,RĘKAWICZKI OCHRONNE NYLONOWE POWLEKANE PALCE 10/XL,1214553897,Rękawice,1703684705
287,SHIELD+ CUT SAF.GLV.11/XXL,1214553897,Rękawice,1703684705
288,SHIELD+ OIL SAF.GLV. 10/XL,1214553897,Rękawice,1703684705
289,NYLONOWE RĘKAWICE ROBOCZE WYTRZYMAŁE ACTIVE 8/M,1214553897,Rękawice,1703684705
290,"SOLARIS S1 SRC trzewik, skóra dwoinowa 36",1214553896,buty,1703684705
291,NYLONOWE RĘKAWICE ROBOCZE WYTRZYMAŁE ACTIVE 9/L,1214553897,Rękawice,1703684705
292,NYLONOWE RĘKAWICE ROBOCZE WYTRZYMAŁE ACTIVE 10/XL,1214553897,Rękawice,1703684705
293,NYLONOWE RĘKAWICE ROBOCZE WYTRZYMAŁE ACTIVE 11/XXL,1214553897,Rękawice,1703684705
295,RĘKAWICE ROBOCZE LATEKSOWE RĘKAWICZKI LATEX WYTRZYMAŁE MOCNY CHWYT 7/S,1214553897,Rękawice,1703684705
296,RĘKAWICE ROBOCZE LATEKSOWE RĘKAWICZKI LATEX WYTRZYMAŁE MOCNY CHWYT 8/M,1214553897,Rękawice,1703684705
297,RĘKAWICE ROBOCZE LATEKSOWE RĘKAWICZKI LATEX WYTRZYMAŁE MOCNY CHWYT 9/L,1214553897,Rękawice,1703684705
298,RĘKAWICE ROBOCZE LATEKSOWE RĘKAWICZKI LATEX WYTRZYMAŁE MOCNY CHWYT 10/XL,1214553897,Rękawice,1703684705
299,TRZEWIK OCHRONNY 4WRK SOLARIS SIMA S1 SRC BUTY SKÓRA GŁADKA ROBOCZE R.37,1214553896,buty,1703684705
300,RĘKAWICE ROBOCZE LATEKSOWE RĘKAWICZKI LATEX WYTRZYMAŁE MOCNY CHWYT 11/XXL,1214553897,Rękawice,1703684705
301,TRZEWIK OCHRONNY 4WRK SOLARIS SIMA S1 SRC BUTY SKÓRA GŁADKA ROBOCZE R.38,1214553896,buty,1703684705
302,WODOODPORNE RĘKAWICE ROBOCZE solidne rękawiczki gumowe PIANKA FOAM 9/L,1214553897,Rękawice,1703684705
303,TRZEWIK OCHRONNY 4WRK SOLARIS SIMA S1 SRC BUTY SKÓRA GŁADKA ROBOCZE R.40,1214553896,buty,1703684705
304,TRZEWIK OCHRONNY 4WRK SOLARIS SIMA S1 SRC BUTY SKÓRA GŁADKA ROBOCZE R.39,1214553896,buty,1703684705
305,TRZEWIK OCHRONNY 4WRK SOLARIS SIMA S1 SRC BUTY SKÓRA GŁADKA ROBOCZE R.41,1214553896,buty,1703684705
306,TRZEWIK OCHRONNY 4WRK SOLARIS SIMA S1 SRC BUTY SKÓRA GŁADKA ROBOCZE R.42,1214553896,buty,1703684705
307,WODOODPORNE RĘKAWICE ROBOCZE solidne rękawiczki gumowe PIANKA FOAM 10/XL,1214553897,Rękawice,1703684705
308,TRZEWIK OCHRONNY 4WRK SOLARIS SIMA S1 SRC BUTY SKÓRA GŁADKA ROBOCZE R.43,1214553896,buty,1703684705
309,WODOODPORNE RĘKAWICE ROBOCZE solidne rękawiczki gumowe PIANKA FOAM 11/XXL,1214553897,Rękawice,1703684705
310,TRZEWIK OCHRONNY 4WRK SOLARIS SIMA S1 SRC BUTY SKÓRA GŁADKA ROBOCZE R.44,1214553896,buty,1703684705
311,TRZEWIK OCHRONNY 4WRK SOLARIS SIMA S1 SRC BUTY SKÓRA GŁADKA ROBOCZE R.45,1214553896,buty,1703684705
312,SHIELD+ BRUK WR 10/XL,1214553897,Rękawice,1703684705
313,TRZEWIK OCHRONNY 4WRK SOLARIS SIMA S1 SRC BUTY SKÓRA GŁADKA ROBOCZE R.46,1214553896,buty,1703684705
314,TRZEWIK OCHRONNY 4WRK SOLARIS SIMA S1 SRC BUTY SKÓRA GŁADKA ROBOCZE R.47,1214553896,buty,1703684705
315,RĘKAWICE ROBOCZE ZIMOWE POWLEKANE OCIEPLANE OBUSTRONNIE LATEX POROWATY 9/L,1214553897,Rękawice,1703684705
316,BUTY ROBOCZE trzewiki WODOODPORNE ANTYPRZEBICIOWE buty S3 antypoślizgowe 39,1214553896,buty,1703684705
317,RĘKAWICE ROBOCZE ZIMOWE POWLEKANE OCIEPLANE OBUSTRONNIE LATEX POROWATY 10/XL,1214553897,Rękawice,1703684705
318,BUTY ROBOCZE trzewiki WODOODPORNE ANTYPRZEBICIOWE buty S3 antypoślizgowe 40,1214553896,buty,1703684705
319,BUTY ROBOCZE trzewiki WODOODPORNE ANTYPRZEBICIOWE buty S3 antypoślizgowe 41,1214553896,buty,1703684705
320,BUTY ROBOCZE trzewiki WODOODPORNE ANTYPRZEBICIOWE buty S3 antypoślizgowe 42,1214553896,buty,1703684705
321,RĘKAWICE ROBOCZE NITRYLOWE MOCNE CZARNE 7/S,1214553897,Rękawice,1703684705
322,BUTY ROBOCZE trzewiki WODOODPORNE ANTYPRZEBICIOWE buty S3 antypoślizgowe 43,1214553896,buty,1703684705
324,RĘKAWICE ROBOCZE NITRYLOWE MOCNE CZARNE 8/M,1214553897,Rękawice,1703684705
325,RĘKAWICE ROBOCZE NITRYLOWE MOCNE CZARNE 9/L,1214553897,Rękawice,1703684705
326,RĘKAWICE ROBOCZE NITRYLOWE MOCNE CZARNE 10/XL,1214553897,Rękawice,1703684705
327,BUTY ROBOCZE trzewiki WODOODPORNE ANTYPRZEBICIOWE buty S3 antypoślizgowe  44,1214553896,buty,1703684705
328,RĘKAWICE ROBOCZE NITRYLOWE MOCNE CZARNE 11/XXL,1214553897,Rękawice,1703684705
329,BUTY ROBOCZE trzewiki WODOODPORNE ANTYPRZEBICIOWE buty S3 antypoślizgowe 45,1214553896,buty,1703684705
330,BUTY ROBOCZE trzewiki WODOODPORNE ANTYPRZEBICIOWE buty S3 antypoślizgowe 46,1214553896,buty,1703684705
331,BUTY ROBOCZE trzewiki WODOODPORNE ANTYPRZEBICIOWE buty S3 antypoślizgowe 47,1214553896,buty,1703684705
332,BUTY ROBOCZE ZIMOWE trzewiki WODOODPORNE buty męskie S3 OCIEPLANE FUTREM 39,1214553896,buty,1703684705
333,RĘKAWICZKI ROBOCZE NITRYLOWE MOCNE BAWEŁNA 7/S,1214553897,Rękawice,1703684705
334,RĘKAWICZKI ROBOCZE NITRYLOWE MOCNE BAWEŁNA 8/M,1214553897,Rękawice,1703684705
335,RĘKAWICZKI ROBOCZE NITRYLOWE MOCNE BAWEŁNA 9/L,1214553897,Rękawice,1703684705
336,RĘKAWICZKI ROBOCZE NITRYLOWE MOCNE BAWEŁNA 10/XL,1214553897,Rękawice,1703684705
337,NASHI PES/LA KS5033 YY 10/XL,1214553897,Rękawice,1703684705
338,BUTY ROBOCZE ZIMOWE trzewiki WODOODPORNE buty męskie S3 OCIEPLANE FUTREM 40,1214553896,buty,1703684705
339,BUTY ROBOCZE ZIMOWE trzewiki WODOODPORNE buty męskie S3 OCIEPLANE FUTREM 41,1214553896,buty,1703684705
340,BUTY ROBOCZE ZIMOWE trzewiki WODOODPORNE buty męskie S3 OCIEPLANE FUTREM 42,1214553896,buty,1703684705
341,BUTY ROBOCZE ZIMOWE trzewiki WODOODPORNE buty męskie S3 OCIEPLANE FUTREM 43,1214553896,buty,1703684705
342,BUTY ROBOCZE ZIMOWE trzewiki WODOODPORNE buty męskie S3 OCIEPLANE FUTREM 44,1214553896,buty,1703684705
343,BUTY ROBOCZE ZIMOWE trzewiki WODOODPORNE buty męskie S3 OCIEPLANE FUTREM 45,1214553896,buty,1703684705
344,MONSOON PES/PU KS6002 GG 7/S,1214553897,Rękawice,1703684705
345,BUTY ROBOCZE ZIMOWE trzewiki WODOODPORNE buty męskie S3 OCIEPLANE FUTREM  46,1214553896,buty,1703684705
346,MONSOON PES/PU KS6002 GG 8/M,1214553897,Rękawice,1703684705
347,BUTY ROBOCZE ZIMOWE trzewiki WODOODPORNE buty męskie S3 OCIEPLANE FUTREM 47,1214553896,buty,1703684705
348,MONSOON PES/PU KS6002 GG 9/L,1214553897,Rękawice,1703684705
349,MONSOON PES/PU KS6002 GG 10/XL,1214553897,Rękawice,1703684705
350,MONSOON PES/PU KS6002 GG 11/XXL,1214553897,Rękawice,1703684705
351,BUTY ROBOCZE ZIMOWE ŚNIEGOWCE TRZEWIKI OCIEPLANE NA ZIMĘ BEZ PODNOSKA R.39,1214553896,buty,1703684705
352,RĘKAWICE ROBOCZE RĘKAWICZKI CZARNE POWLEKANE POLIURETAN OPAKOWANIE  7/S,1214553897,Rękawice,1703684705
353,BUTY ROBOCZE ZIMOWE ŚNIEGOWCE TRZEWIKI OCIEPLANE NA ZIMĘ BEZ PODNOSKA R.40,1214553896,buty,1703684705
354,RĘKAWICE ROBOCZE RĘKAWICZKI CZARNE POWLEKANE POLIURETAN OPAKOWANIE  8/M,1214553897,Rękawice,1703684705
355,BUTY ROBOCZE ZIMOWE ŚNIEGOWCE TRZEWIKI OCIEPLANE NA ZIMĘ BEZ PODNOSKA R.41,1214553896,buty,1703684705
