product_id,product_name_pol,category_id,category_name,producer_id,producer,total_stock
270,RĘKAWICE ROBOCZE OCHRONNE BIAŁE KROPKI PCV7/S,1214553897,Rękawice,1703684705,4WRK,304
271,RĘKAWICE ROBOCZE OCHRONNE BIAŁE KROPKI PCV8/M,1214553897,Rękawice,1703684705,4WRK,1374
272,RĘKAWICE ROBOCZE OCHRONNE BIAŁE KROPKI PCV9/L,1214553897,Rękawice,1703684705,4WRK,1429
273,RĘKAWICE ROBOCZE OCHRONNE BIAŁE KROPKI PCV10/XL,1214553897,Rękawice,1703684705,4WRK,28
274,RĘKAWICE ROBOCZE OCHRONNE BIAŁE KROPKI PCV11/XXL,1214553897,Rękawice,1703684705,4WRK,107
275,RĘKAWICE ROBOCZE ESD PRO ANTYSTATYCZNE NYLON 8/M,1214553897,Rękawice,1703684705,4WRK,18460
276,RĘKAWICE ROBOCZE ESD PRO ANTYSTATYCZNE NYLON 7/S,1214553897,Rękawice,1703684705,4WRK,31290
277,RĘKAWICE ROBOCZE ESD PRO ANTYSTATYCZNE NYLON 9/L,1214553897,Rękawice,1703684705,4WRK,19634
278,RĘKAWICE ROBOCZE ESD PRO ANTYSTATYCZNE NYLON 10/XL,1214553897,Rękawice,1703684705,4WRK,12620
279,RĘKAWICE ROBOCZE ESD PRO ANTYSTATYCZNE NYLON 11/XXL,1214553897,Rękawice,1703684705,4WRK,484
280,RĘKAWICZKI OCHRONNE NYLONOWE POWLEKANE PALCE 7/S,1214553897,Rękawice,1703684705,4WRK,9303
281,RĘKAWICZKI OCHRONNE NYLONOWE POWLEKANE PALCE 8/M,1214553897,Rękawice,1703684705,4WRK,26735
282,RĘKAWICZKI OCHRONNE NYLONOWE POWLEKANE PALCE 9/L,1214553897,Rękawice,1703684705,4WRK,15668
283,RĘKAWICZKI OCHRONNE NYLONOWE POWLEKANE PALCE 10/XL,1214553897,Rękawice,1703684705,4WRK,20476
284,RĘKAWICZKI OCHRONNE NYLONOWE POWLEKANE PALCE  11/XXL,1214553897,Rękawice,1703684705,4WRK,7640
285,SHIELD+ CUT SAF.GLV.9/L,1214553897,Rękawice,1703684705,4WRK,482
286,RĘKAWICZKI OCHRONNE NYLONOWE POWLEKANE PALCE 10/XL,1214553897,Rękawice,1703684705,4WRK,838
287,SHIELD+ CUT SAF.GLV.11/XXL,1214553897,Rękawice,1703684705,4WRK,5499
288,SHIELD+ OIL SAF.GLV. 10/XL,1214553897,Rękawice,1703684705,4WRK,0
289,NYLONOWE RĘKAWICE ROBOCZE WYTRZYMAŁE ACTIVE 8/M,1214553897,Rękawice,1703684705,4WRK,4335
290,"SOLARIS S1 SRC trzewik, skóra dwoinowa 36",1214553896,buty,1703684705,4WRK,15
291,NYLONOWE RĘKAWICE ROBOCZE WYTRZYMAŁE ACTIVE 9/L,1214553897,Rękawice,1703684705,4WRK,19210
292,NYLONOWE RĘKAWICE ROBOCZE WYTRZYMAŁE ACTIVE 10/XL,1214553897,Rękawice,1703684705,4WRK,9736
293,NYLONOWE RĘKAWICE ROBOCZE WYTRZYMAŁE ACTIVE 11/XXL,1214553897,Rękawice,1703684705,4WRK,18466
295,RĘKAWICE ROBOCZE LATEKSOWE RĘKAWICZKI LATEX WYTRZYMAŁE MOCNY CHWYT 7/S,1214553897,Rękawice,1703684705,4WRK,1598
296,RĘKAWICE ROBOCZE LATEKSOWE RĘKAWICZKI LATEX WYTRZYMAŁE MOCNY CHWYT 8/M,1214553897,Rękawice,1703684705,4WRK,2
297,RĘKAWICE ROBOCZE LATEKSOWE RĘKAWICZKI LATEX WYTRZYMAŁE MOCNY CHWYT 9/L,1214553897,Rękawice,1703684705,4WRK,0
