product_id,product_name_pol,category_id,category,producer,vat,price_gross,price_net,total_stock,card_url,image_url,icon_url
973,BUTY PÓŁBUTY ROBOCZE 03-002 S1 SAKO ROZMIAR 42,1214553896,buty,4WRK,23.0,85.90,69.84,56,https://4wrk.eu/pl/products/buty-polbuty-robocze-03-002-s1-sako-rozmiar-42-973.html,https://4wrk.eu/hpeciai/798565c9774ce32eeb62f4b9ca9d4e93/973_1.jpg,https://4wrk.eu/hpeciai/d01edeb8089ac6d377972fa869f90a50/973.jpg
974,BUTY PÓŁBUTY ROBOCZE 03-002 S1 SAKO ROZMIAR 43,1214553896,buty,4WRK,23.0,,,0,https://4wrk.eu/pl/products/buty-polbuty-robocze-03-002-s1-sako-rozmiar-43-974.html,https://4wrk.eu/hpeciai/798565c9774ce32eeb62f4b9ca9d4e93/974_1.jpg,https://4wrk.eu/hpeciai/d01edeb8089ac6d377972fa869f90a50/974.jpg
975,BUTY PÓŁBUTY ROBOCZE 03-002 S1 SAKO ROZMIAR 44,1214553896,buty,4WRK,23.0,,,0,https://4wrk.eu/pl/products/buty-polbuty-robocze-03-002-s1-sako-rozmiar-44-975.html,https://4wrk.eu/hpeciai/798565c9774ce32eeb62f4b9ca9d4e93/975_1.jpg,https://4wrk.eu/hpeciai/d01edeb8089ac6d377972fa869f90a50/975.jpg
976,BUTY PÓŁBUTY ROBOCZE 03-002 S1 SAKO ROZMIAR 45,1214553896,buty,4WRK,23.0,85.90,69.84,47,https://4wrk.eu/pl/products/buty-polbuty-robocze-03-002-s1-sako-rozmiar-45-976.html,https://4wrk.eu/hpeciai/798565c9774ce32eeb62f4b9ca9d4e93/976_1.jpg,https://4wrk.eu/hpeciai/d01edeb8089ac6d377972fa869f90a50/976.jpg
977,BUTY PÓŁBUTY ROBOCZE 03-002 S1 SAKO ROZMIAR 46,1214553896,buty,4WRK,23.0,85.90,69.84,75,https://4wrk.eu/pl/products/buty-polbuty-robocze-03-002-s1-sako-rozmiar-46-977.html,https://4wrk.eu/hpeciai/798565c9774ce32eeb62f4b9ca9d4e93/977_1.jpg,https://4wrk.eu/hpeciai/d01edeb8089ac6d377972fa869f90a50/977.jpg
978,BUTY PÓŁBUTY ROBOCZE 03-002 S1 SAKO ROZMIAR 47,1214553896,buty,4WRK,23.0,85.90,69.84,117,https://4wrk.eu/pl/products/buty-polbuty-robocze-03-002-s1-sako-rozmiar-47-978.html,https://4wrk.eu/hpeciai/798565c9774ce32eeb62f4b9ca9d4e93/978_1.jpg,https://4wrk.eu/hpeciai/d01edeb8089ac6d377972fa869f90a50/978.jpg
991,"SAKO 03-003 sandał, skóra welurowa S1 ESD SRC 36",1214553896,buty,4WRK,23.0,,,0,https://4wrk.eu/pl/products/sako-03-003-sandal-skora-welurowa-s1-esd-src-36-991.html,https://4wrk.eu/hpeciai/dc98d2571be051cbac8fa60fc530f31e/991_1.jpg,https://4wrk.eu/hpeciai/3bc562f6438b37d9d833b817160ca2ea/991.jpg
992,"SAKO 03-003 sandał, skóra welurowa S1 ESD SRC 37",1214553896,buty,4WRK,23.0,,,0,https://4wrk.eu/pl/products/sako-03-003-sandal-skora-welurowa-s1-esd-src-37-992.html,https://4wrk.eu/hpeciai/dc98d2571be051cbac8fa60fc530f31e/992_1.jpg,https://4wrk.eu/hpeciai/3bc562f6438b37d9d833b817160ca2ea/992.jpg
993,"SAKO 03-003 sandał, skóra welurowa S1 ESD SRC 38",1214553896,buty,4WRK,23.0,,,0,https://4wrk.eu/pl/products/sako-03-003-sandal-skora-welurowa-s1-esd-src-38-993.html,https://4wrk.eu/hpeciai/dc98d2571be051cbac8fa60fc530f31e/993_1.jpg,https://4wrk.eu/hpeciai/3bc562f6438b37d9d833b817160ca2ea/993.jpg
994,"SAKO 03-003 sandał, skóra welurowa S1 ESD SRC 39",1214553896,buty,4WRK,23.0,,,0,https://4wrk.eu/pl/products/sako-03-003-sandal-skora-welurowa-s1-esd-src-39-994.html,https://4wrk.eu/hpeciai/dc98d2571be051cbac8fa60fc530f31e/994_1.jpg,https://4wrk.eu/hpeciai/3bc562f6438b37d9d833b817160ca2ea/994.jpg
995,"SAKO 03-003 sandał, skóra welurowa S1 ESD SRC 40",1214553896,buty,4WRK,23.0,,,0,https://4wrk.eu/pl/products/sako-03-003-sandal-skora-welurowa-s1-esd-src-40-995.html,https://4wrk.eu/hpeciai/dc98d2571be051cbac8fa60fc530f31e/995_1.jpg,https://4wrk.eu/hpeciai/3bc562f6438b37d9d833b817160ca2ea/995.jpg
996,"SAKO 03-003 sandał, skóra welurowa S1 ESD SRC 41",1214553896,buty,4WRK,23.0,93.68,76.16,11,https://4wrk.eu/pl/products/sako-03-003-sandal-skora-welurowa-s1-esd-src-41-996.html,https://4wrk.eu/hpeciai/dc98d2571be051cbac8fa60fc530f31e/996_1.jpg,https://4wrk.eu/hpeciai/3bc562f6438b37d9d833b817160ca2ea/996.jpg
